dataset,task,n_components,framework,model,encoding,f1_macro_mean,f1_macro_std,accuracy_mean,gram_offdiag_std_mean,n_folds,sweep_start,parent_run_id,is_latest
cic-malmem,multiclass,6,classical,lightgbm,,0.15712245865844301,0.022080952760688628,0.15100000000000002,,5,2026-07-15 20:33:31.582000+00:00,d8b8d6b34eeb4f3886a552bbb8a158db,True
cic-malmem,multiclass,6,quantum,qsvm,angle,0.06813241013003646,0.014712719270856682,0.11100000000000002,0.06736938927142502,5,2026-07-25 08:43:53.312000+00:00,b5275647876940718c89f75e65852994,True
cic-malmem,multiclass,6,quantum,qsvm,iqp,0.12129802052525969,0.009068877404908596,0.544,0.10397052916308522,5,2026-07-14 16:52:49.958000+00:00,8a35c5cd0cee4e2c8eba0b2212286195,False
cic-malmem,multiclass,6,quantum,qsvm,iqp,0.0793682270676792,0.0170961920327719,0.10600000000000001,0.08818798424438026,5,2026-07-25 08:57:14.019000+00:00,08ee6713057549948962f703cf712d9c,True
cic-malmem,multiclass,6,quantum,qsvm,joint,0.07990719058434073,0.017575884898267235,0.5149999999999999,0.16776428400601925,5,2026-07-14 12:43:28.445000+00:00,106bb908572a4bac8a46df8d01ae928a,False
cic-malmem,multiclass,6,quantum,qsvm,joint,0.0707703494637253,0.014076878940283763,0.10600000000000001,0.08120609967039569,5,2026-07-15 19:58:21.736000+00:00,c5a2092920a24462bcfdc2c9f2496a3f,True
cic-malmem,multiclass,6,classical,random_forest,,0.10820389388104404,0.025030027225371534,0.53,,5,2026-07-14 12:46:19.375000+00:00,612d502788184b5695cda98dc70634a8,False
cic-malmem,multiclass,6,classical,random_forest,,0.1996605886680783,0.020703470058918535,0.571,,5,2026-07-14 18:21:44.228000+00:00,7e96862c97c04549ad6b45ca0309a76c,False
cic-malmem,multiclass,6,classical,random_forest,,0.1509929786505269,0.026183035870944185,0.151,,5,2026-07-15 20:26:30.496000+00:00,ed570c853f16403185ae3cb6f72ffece,True
cic-malmem,multiclass,6,classical,svm,,0.10368687216007495,0.021934453974920616,0.5199999999999999,,5,2026-07-14 12:50:00.543000+00:00,82a1e4bbd1e84e05ad58b70d0f0cd418,False
cic-malmem,multiclass,6,classical,svm,,0.18386234369289128,0.031197785491386694,0.568,,5,2026-07-14 18:54:44.414000+00:00,aa1a21e5090c4760ac3e8009e71d7be8,False
cic-malmem,multiclass,6,classical,svm,,0.1647451081849126,0.0233163205904355,0.17,,5,2026-07-15 20:39:05.893000+00:00,559523786214434c8376d95cac638354,False
cic-malmem,multiclass,6,classical,svm,,0.1647451081849126,0.0233163205904355,0.17,,5,2026-07-25 09:24:50.726000+00:00,de31f190a83d4f64bba8faf1bd3bf2b6,True
cic-malmem,multiclass,6,classical,xgboost,,0.10518168471376962,0.019694651953836385,0.5199999999999999,,5,2026-07-14 12:47:32.817000+00:00,d109883160a34455aa3a1c19183c2616,False
cic-malmem,multiclass,6,classical,xgboost,,0.21869374162818592,0.039225225731451846,0.583,,5,2026-07-14 18:24:54.938000+00:00,309816cb9e9c43d6bb3759e65719a210,False
cic-malmem,multiclass,6,classical,xgboost,,0.1493892811235486,0.024862528857063502,0.14800000000000002,,5,2026-07-15 20:28:51.150000+00:00,0ce10d7756a44c60b4cd7d534a982303,True
cic-malmem,multiclass,8,quantum,qsvm,angle,0.06930095237768397,0.006153182288601485,0.10900000000000001,0.05998640779084462,5,2026-07-25 07:22:30.557000+00:00,8477fb9b7a164a629dd3b97577cca5c7,True
cic-malmem,multiclass,8,quantum,qsvm,iqp,0.07394409697782563,0.010339364420670703,0.10600000000000001,0.07984180340077202,5,2026-07-25 07:39:27.803000+00:00,5d8627cee88b45949a9ecc679694117b,True
cic-malmem,multiclass,8,classical,svm,,0.17720968453984048,0.03546894592472447,0.181,,5,2026-07-25 09:21:41.738000+00:00,5aa24e3d30304e16b0dde68f0d874e98,True
ember-2018,binary,1,classical,lightgbm,,0.5092935288790749,0.03349796444463546,0.648,,5,2026-08-01 15:12:05.188000+00:00,397a2841e2e342019b46e3716132e9d8,True
ember-2018,binary,1,quantum,qsvm,angle,0.45322434443718534,0.027659121026005023,0.733,0.09035800763065695,5,2026-07-25 03:34:36.307000+00:00,cd8e909f764e4c39bfd5016e73556a9c,True
ember-2018,binary,1,quantum,qsvm,iqp,0.4586800836140913,0.02285259292921505,0.741,0.08347141339979769,5,2026-07-25 03:39:09.897000+00:00,025ff57a65394ef28ca8db07cb0292c8,True
ember-2018,binary,1,classical,random_forest,,0.558183651105556,0.024208412077391054,0.7350000000000001,,5,2026-08-01 15:10:27.928000+00:00,7d63edbdd8b64802b2cdfc620689339c,True
ember-2018,binary,1,classical,svm,,0.5313954328560812,0.027722137149820893,0.6619999999999999,,5,2026-07-25 04:36:17.322000+00:00,0aee3fd6e6984bafa20fad298f526dc3,True
ember-2018,binary,1,classical,xgboost,,0.5450716303165196,0.019560010746819772,0.729,,5,2026-08-01 15:11:44.430000+00:00,1a50d1397cf040caa614fe7b5e76fa0c,True
ember-2018,binary,3,classical,lightgbm,,0.6433515549708316,0.015960653934283336,0.86,,5,2026-08-01 15:14:39.175000+00:00,3f33ff6b2e634cdd85735815fe7dbe57,True
ember-2018,binary,3,quantum,qsvm,angle,0.4923946968218448,0.054822389311896653,0.6020000000000001,0.10907629925407407,5,2026-07-25 03:41:50.658000+00:00,9659ce782b074ff4b39fdb7b0c76b6cb,True
ember-2018,binary,3,quantum,qsvm,iqp,0.5083580434639654,0.03471271968282647,0.6249999999999999,0.12226344595539311,5,2026-07-25 03:50:01.516000+00:00,ac4e5adb8ab1485a8f7883e3ca328ba3,True
ember-2018,binary,3,classical,random_forest,,0.6574827217845197,0.05443031042038229,0.8469999999999999,,5,2026-08-01 15:12:38.779000+00:00,396fe8cceb6d463db8848a26c2de0389,True
ember-2018,binary,3,classical,svm,,0.6305534481296396,0.01915791735692955,0.82,,5,2026-07-25 04:36:34.892000+00:00,dadaaae1e98b4b64900ebbbc55da7fa6,True
