dataset,kernel,n_train_rows,n_qubits,offdiag_std,alignment,constant_kernel_baseline,alignment_excess_over_baseline,rbf_gamma
cic,qsvm_fidelity,800,6,0.08855674510280961,0.2599553280749758,0.26002403735039575,-6.870927541996474e-05,
cic,rbf_control,800,6,0.22122015158227268,0.25609602815810645,0.26002403735039575,-0.003928009192289306,0.5827503018135827
ember,qsvm_fidelity,800,6,0.2015109784405519,0.2884230826464103,0.2582150266735071,0.030208055972903214,
ember,rbf_control,800,6,0.2183769980708869,0.28565405560433355,0.2582150266735071,0.027439028930826448,0.1725040159691433
