model,task,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_macro_mean,f1_macro_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std
random_forest,multiclass,0.723,0.01913112646970901,0.7416097076871072,0.00801416682696254,0.7221245421245422,0.01828070044908798,0.7194150267875187,0.010189437206761841,0.7049210779521753,0.020590424331971044,0.9472350146164189,0.008149987036365823
xgboost,multiclass,0.712,0.02063976744055031,0.720696588527858,0.013633090596491234,0.7115018315018313,0.020021054543116545,0.7088932915246975,0.016242386288341112,0.6926505535565506,0.021957235729700358,0.946367297050409,0.009383189116339037
lightgbm,multiclass,0.7070000000000001,0.02315167380558042,0.71699570484555,0.018124711638025735,0.7066666666666667,0.023274807135852966,0.7035166656421288,0.021559698153587544,0.6873456706915133,0.02477504950615434,0.9405054886079555,0.0069620213412405684
