model,task,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_macro_mean,f1_macro_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std
random_forest,binary,0.875,0.028982753492378905,0.68586159019893,0.07789747609981691,0.6847267563565909,0.07164094159712701,0.6834706145293937,0.07408713602868608,0.36950717469203886,0.14734663112733584,0.8494280592516539,0.03851174632704759
xgboost,binary,0.881,0.02800000000000003,0.7046673451691183,0.07974655316564123,0.6488633823182937,0.03680445448866832,0.6680491149670307,0.048861866969122154,0.3470209288790202,0.1063591004928489,0.8295638524464504,0.04492792039032505
lightgbm,binary,0.884,0.023958297101421902,0.6946650921687473,0.08965230876197539,0.6387954336572819,0.059582856618965375,0.6593205587149195,0.07080335775209054,0.3284138965519525,0.14541424369898456,0.8197697082104194,0.0519284580857583
