model,task,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_macro_mean,f1_macro_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std
random_forest,multiclass,0.7909999999999999,0.026343879744638952,0.8028171218759453,0.02217995321624751,0.7908424908424909,0.025263574542961218,0.790284972037212,0.023802890339146135,0.7771226755674976,0.028148598935913722,0.9666250521563615,0.003479917778989304
xgboost,multiclass,0.766,0.025377155080899064,0.7818682762599172,0.01975857497612867,0.7654212454212456,0.02465133429276313,0.7659059371642711,0.02136566721648535,0.7505078496442015,0.02733117315893017,0.9643849635500489,0.0078093825337584594
lightgbm,multiclass,0.774,0.02059126028197402,0.7810024147965324,0.013542985464668936,0.7734065934065935,0.020111991723487255,0.7709149311725378,0.016617359904644538,0.7587071212138512,0.02199540198952901,0.9663231729265884,0.004395615201939804
