model,task,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_macro_mean,f1_macro_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std
random_forest,multiclass,0.557,0.027856776554368225,0.5665221944664669,0.028250604797049283,0.5572161172161173,0.02811259260269911,0.5561907822699944,0.026773005059180812,0.5263457454712088,0.030014957827315926,0.8636067074397245,0.015457926032767577
xgboost,multiclass,0.54,0.03331666249791536,0.5404799337553409,0.031481083455356995,0.5398534798534799,0.03174317635322397,0.5312993318673407,0.03153037107557085,0.5086933269428697,0.03554114823967387,0.879512440964054,0.015100920039829798
lightgbm,multiclass,0.5429999999999999,0.03802630668366308,0.5599761464661182,0.04650463335848046,0.5428571428571429,0.039582140296882555,0.5410497296181371,0.04138471202342823,0.5121146334027559,0.040849680033880384,0.8765532475115018,0.013433134417874013
