model,task,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_macro_mean,f1_macro_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std
random_forest,binary,0.7350000000000001,0.05949789912257408,0.5638366715907127,0.006859943714548468,0.6181125798486466,0.01771092930973328,0.558183651105556,0.024208412077391054,0.1729650815626345,0.017375405264128934,0.6859595913595979,0.051262339224729586
xgboost,binary,0.729,0.04115823125451335,0.5513599612202742,0.015916291610798744,0.5998333964369419,0.04183295745256428,0.5450716303165196,0.019560010746819772,0.14279853851338006,0.05170812274473613,0.686996911812268,0.03370358160314965
lightgbm,binary,0.648,0.055190578906186526,0.5418061656269586,0.01650139059741158,0.5930841581338795,0.031903989467877245,0.5092935288790749,0.03349796444463546,0.12455477362033833,0.045198975602718114,0.6814515410704128,0.038084341387022144
