model,task,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_macro_mean,f1_macro_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std
random_forest,binary,0.8469999999999999,0.028913664589601904,0.6443590808416391,0.04984142115743867,0.6773431197872092,0.058263415432588304,0.6574827217845197,0.05443031042038229,0.31996091075207944,0.10783021561449246,0.8018966711654647,0.036452071337680865
xgboost,binary,0.852,0.019646882704388517,0.6390333594165257,0.05853193470810203,0.6636055520135571,0.0722823713145736,0.6465250284398584,0.061397298091690394,0.3000926585466064,0.12545412248431376,0.760576999073393,0.05035816708945236
lightgbm,binary,0.86,0.008366600265340762,0.6454665030386036,0.006584814908998563,0.6448035746500634,0.02753771072306164,0.6433515549708316,0.015960653934283336,0.2892373206989797,0.03184225533189801,0.7760517728099472,0.04059437795300824
